Probe,Name,Gene,,,,
1007_s_at,discoidin domain receptor tyrosine kinase 1 /// microRNA 4640,DDR1 ,,,,
1053_at,"replication factor C (activator 1) 2, 40kDa",RFC2,,,,
117_at,heat shock 70kDa protein 6 (HSP70B'),HSPA6,,,,
121_at,paired box 8,PAX8,,,,
1255_g_at,guanylate cyclase activator 1A (retina),GUCA1A,,,,
1294_at,microRNA 5193 /// ubiquitin-like modifier activating enzyme 7,MIR5193 ,,,,
1316_at,"thyroid hormone receptor, alpha",THRA,,,,
1320_at,"protein tyrosine phosphatase, non-receptor type 21",PTPN21,,,,
1405_i_at,chemokine (C-C motif) ligand 5,CCL5,,,,
1431_at,"cytochrome P450, family 2, subfamily E, polypeptide 1",CYP2E1,,,,
1438_at,EPH receptor B3,EPHB3,,,,
1487_at,estrogen-related receptor alpha,ESRRA,,,,
1494_f_at,"cytochrome P450, family 2, subfamily A, polypeptide 6",CYP2A6,,,,
1552256_a_at,"scavenger receptor class B, member 1",SCARB1,,,,
1552257_a_at,"tubulin tyrosine ligase-like family, member 12",TTLL12,,,,
1552258_at,long intergenic non-protein coding RNA 152 /// uncharacterized LOC101930489,LINC00152 ,,,,
1552261_at,WAP four-disulfide core domain 2,WFDC2,,,,
1552263_at,mitogen-activated protein kinase 1,MAPK1,,,,
1552264_a_at,mitogen-activated protein kinase 1,MAPK1,,,,
1552266_at,ADAM metallopeptidase domain 32,ADAM32,,,,
1552269_at,spermatogenesis associated 17,SPATA17,,,,
1552271_at,proline rich 22,PRR22,,,,
1552272_a_at,proline rich 22,PRR22,,,,
1552274_at,PX domain containing serine/threonine kinase,PXK,,,,
1552275_s_at,PX domain containing serine/threonine kinase,PXK,,,,
1552276_a_at,vacuolar protein sorting 18 homolog (S. cerevisiae),VPS18,,,,
1552277_a_at,Myb/SANT-like DNA-binding domain containing 3,MSANTD3,,,,
1552278_a_at,"solute carrier family 46 (folate transporter), member 1",SLC46A1,,,,
1552279_a_at,"solute carrier family 46 (folate transporter), member 1",SLC46A1,,,,
1552280_at,T-cell immunoglobulin and mucin domain containing 4,TIMD4,,,,
1552281_at,"solute carrier family 39 (zinc transporter), member 5",SLC39A5,,,,
1552283_s_at,"zinc finger, DHHC-type containing 11 /// zinc finger, DHHC-type containing 11B",ZDHHC11 ,,,,
1552286_at,"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2",ATP6V1E2,,,,
1552287_s_at,"AFG3-like AAA ATPase 1, pseudogene",AFG3L1P,,,,
1552288_at,cartilage intermediate layer protein 2,CILP2,,,,
1552289_a_at,cartilage intermediate layer protein 2,CILP2,,,,
1552291_at,"phosphatidylinositol glycan anchor biosynthesis, class X",PIGX,,,,
1552293_at,transmembrane protein 196,TMEM196,,,,
1552295_a_at,"solute carrier family 39 (zinc transporter), member 13",SLC39A13,,,,
1552296_at,bestrophin 4,BEST4,,,,
1552299_at,adenylate kinase 9,AK9,,,,
1552301_a_at,coronin 6,CORO6,,,,
1552302_at,transmembrane protein 106A,TMEM106A,,,,
1552303_a_at,transmembrane protein 106A,TMEM106A,,,,
1552304_at,"ALG10, alpha-1,2-glucosyltransferase",ALG10,,,,
1552306_at,"ALG10, alpha-1,2-glucosyltransferase",ALG10,,,,
1552307_a_at,tetratricopeptide repeat domain 39C,TTC39C,,,,
1552309_a_at,nexilin (F actin binding protein),NEXN,,,,
1552310_at,chromosome 15 open reading frame 40,C15orf40,,,,
1552311_a_at,retina and anterior neural fold homeobox 2,RAX2,,,,
1552312_a_at,microfibrillar-associated protein 3,MFAP3,,,,
1552314_a_at,EYA transcriptional coactivator and phosphatase 3,EYA3,,,,
